nim,kode_mk,nilai
65163,BDL       ,100
65163,JarKom    ,100
65164,BDL       ,95
68463,JarKom    ,90
65162,BDL       ,80
61211,BDL       ,75
68463,BDL       ,97
61151,BDL       ,89
65160,JarKom    ,87
65138,JarKom    ,76
68463,JarKom    ,89
65169,JarKom    ,84
65163,DesInt    ,92
65162,DesInt    ,84
65164,DesInt    ,89
61151,DesInt    ,79
61211,DesInt    ,85
65163,PBO       ,100
65162,PBO       ,87
61151,PBO       ,86
65164,PBO       ,90
65160,PBO       ,81
65163,Adr       ,100
65162,Adr       ,87
61151,Adr       ,79
65164,Adr       ,80
68463,Adr       ,95
65163,KB        ,100
65169,KB        ,87
65138,KB        ,79
65163,RPL       ,100
61151,RPL       ,90
65162,RPL       ,98
65160,EI        ,78
65169,EI        ,89
65163,EI        ,100
65138,EI        ,89
65160,EI        ,90
61151,TB        ,90
65162,TB        ,100
65251,TB        ,89
80351,TB        ,78
65163,AI        ,100
61211,AI        ,75
65164,AI        ,89
65169,BIng      ,78
65162,BIng      ,87
65251,BIng      ,89
80351,BIng      ,67
65163,BJpg      ,99
61151,BJpg      ,80
65251,BJpg      ,80
65251,DesInt    ,70
65160,DesInt    ,90
65163,MD        ,100
65162,MD        ,80
80351,MD        ,90
61211,MD        ,91
65160,MD        ,87
61151,MD        ,78
69162,BDL       ,100
69162,PBO       ,99
